R,algorithm,date,iteration,seed,size,β,γ
25,fastSD,20211123124550_151,100461,16376679499076980,80,1.5,0.04
25,fastSD,20211123124552_822,309027,16376679521952900,80,1.5,0.04
25,fastSD,20211123124553_443,293044,16376679528420260,80,1.5,0.04
25,fastSD,20211123124557_481,330811,16376679567790192,80,1.5,0.04
25,fastSD,20211123124559_187,88763,16376679590095530,80,1.5,0.04
25,fastSD,20211123124559_809,281627,16376679592323620,80,1.5,0.04
25,fastSD,20211123124603_716,287906,16376679631234890,80,1.5,0.04
25,fastSD,20211123124605_352,59992,16376679652246690,80,1.5,0.04
25,fastSD,20211123124607_514,287030,16376679669156340,80,1.5,0.04
25,fastSD,20211123124608_143,293853,16376679675158210,80,1.5,0.04
25,fastSD,20211123124608_869,315140,16376679681924180,80,1.5,0.04
25,fastSD,20211123124609_504,303590,16376679688701220,80,1.5,0.04
25,fastSD,20211123124610_145,318611,16376679695051060,80,1.5,0.04
25,fastSD,20211123124619_622,295289,16376679790021998,80,1.5,0.04
25,fastSD,20211123124620_251,311660,16376679796244650,80,1.5,0.04
25,fastSD,20211123124620_839,287787,16376679802524800,80,1.5,0.04
25,fastSD,20211123124621_627,356763,16376679809031570,80,1.5,0.04
25,fastSD,20211123124633_957,293961,16376679933554170,80,1.5,0.04
25,fastSD,20211123124634_452,201847,16376679940403270,80,1.5,0.04
25,fastSD,20211123124636_42,235389,16376679959319790,80,1.5,0.04
25,fastSD,20211123124638_522,32595,16376679984662500,80,1.5,0.04
25,fastSD,20211123124640_688,288425,16376680000958700,80,1.5,0.04
25,fastSD,20211123124641_118,204678,16376680007074690,80,1.5,0.04
25,fastSD,20211123124643_454,300838,16376680028464380,80,1.5,0.04
25,fastSD,20211123124648_234,280661,16376680076461660,80,1.5,0.04
25,fastSD,20211123124648_239,2312,16376680082353790,80,1.5,0.04
25,fastSD,20211123124656_849,297808,16376680161970560,80,1.5,0.04
25,fastSD,20211123124657_018,70417,16376680168511190,80,1.5,0.04
25,fastSD,20211123124657_741,294606,16376680170194230,80,1.5,0.04
25,fastSD,20211123124706_737,288203,16376680261088540,80,1.5,0.04
25,fastSD,20211123124708_203,340290,16376680274560430,80,1.5,0.04
25,fastSD,20211123124710_489,294313,16376680298586720,80,1.5,0.04
25,fastSD,20211123124717_561,290248,16376680369465520,80,1.5,0.04
25,fastSD,20211123124748_773,389540,16376680679269660,80,1.5,0.04
25,fastSD,20211123124749_42,293055,16376680687742600,80,1.5,0.04
25,fastSD,20211123124750_093,117055,16376680698505970,80,1.5,0.04
25,fastSD,20211123124759_899,371323,16376680791043090,80,1.5,0.04
25,fastSD,20211123124800_47,288883,16376680799001890,80,1.5,0.04
25,fastSD,20211123124802_15,287324,16376680815514850,80,1.5,0.04
