algorithm,date,iteration,seed,size
ea1p1,20211119180833_159,11310,16373417131288350,100
ea1p1,20211119180833_578,328777,16373417131602390,100
ea1p1,20211119180834_063,375784,16373417135789198,100
ea1p1,20211119180834_099,13207,16373417140640120,100
ea1p1,20211119180835_44,988044,16373417141764880,100
ea1p1,20211119180835_647,85884,16373417154410530,100
ea1p1,20211119180835_989,204490,16373417157414752,100
ea1p1,20211119180836_022,10153,16373417159905450,100
ea1p1,20211119180836_154,16497,16373417161130270,100
ea1p1,20211119180836_304,44034,16373417162333910,100
ea1p1,20211119180838_325,1606402,16373417163054890,100
ea1p1,20211119180838_567,134187,16373417183983930,100
ea1p1,20211119180838_624,32391,16373417185684928,100
ea1p1,20211119180843_486,3947038,16373417186255560,100
ea1p1,20211119181244_9,206449,16373419645947000,100
ea1p1,20211119181245_078,133883,16373419649020730,100
ea1p1,20211119181245_13,43015,16373419650796310,100
ea1p1,20211119181245_646,152237,16373419652368770,100
ea1p1,20211119181247_759,711933,16373419657322040,100
ea1p1,20211119181248_018,30048,16373419679444220,100
ea1p1,20211119181248_037,15090,16373419680195910,100
ea1p1,20211119181248_141,73459,16373419680386320,100
ea1p1,20211119181248_298,16570,16373419682571280,100
ea1p1,20211119181248_372,63840,16373419682988070,100
ea1p1,20211119181248_781,296723,16373419683729830,100
ea1p1,20211119181251_249,1664522,16373419687827940,100
ea1p1,20211119181251_944,204067,16373419713834118,100
ea1p1,20211119181251_952,6372,16373419719450632,100
ea1p1,20211119181252_693,389982,16373419722132790,100
ea1p1,20211119181252_724,11934,16373419726941630,100
ea1p1,20211119181252_94,26745,16373419728786380,100
ea1p1,20211119181253_307,77346,16373419731076692,100
ea1p1,20211119181253_791,55660,16373419736423080,100
ea1p1,20211119181253_936,86790,16373419738148140,100
ea1p1,20211119181254_301,243604,16373419739369600,100
ea1p1,20211119181254_569,134111,16373419743737100,100
ea1p1,20211119181254_805,49394,16373419746618660,100
ea1p1,20211119181254_865,22715,16373419748068630,100
ea1p1,20211119181255_048,139553,16373419748664760,100
ea1p1,20211119181255_18,39813,16373419750494800,100
ea1p1,20211119181256_246,291936,16373419751809350,100
ea1p1,20211119181256_686,91056,16373419763642630,100
ea1p1,20211119181256_879,67226,16373419766874540,100
ea1p1,20211119181257_668,180015,16373419771820012,100
ea1p1,20211119181257_811,106704,16373419776700030,100
ea1p1,20211119181257_838,20311,16373419778126660,100
ea1p1,20211119181257_951,46952,16373419778387770,100
ea1p1,20211119181257_983,5761,16373419779519610,100
ea1p1,20211119181258_636,446713,16373419780604500,100
ea1p1,20211119181258_675,27905,16373419786381610,100
ea1p1,20211119181300_426,1188185,16373419786758202,100
ea1p1,20211119181300_447,7147,16373419804277420,100
ea1p1,20211119181300_773,171367,16373419805239210,100
ea1p1,20211119181301_048,178941,16373419807745850,100
ea1p1,20211119181301_055,4464,16373419810492360,100
ea1p1,20211119181301_068,10279,16373419810557200,100
ea1p1,20211119181301_111,16999,16373419810686650,100
ea1p1,20211119181301_174,24727,16373419811119290,100
ea1p1,20211119181301_563,301307,16373419811752200,100
ea1p1,20211119181301_782,74236,16373419815640920,100
ea1p1,20211119181301_801,7274,16373419817837952,100
ea1p1,20211119181302_327,59316,16373419821536650,100
ea1p1,20211119181302_816,110704,16373419824673590,100
ea1p1,20211119181302_94,20142,16373419828951270,100
ea1p1,20211119181307_145,1228958,16373419830274460,100
ea1p1,20211119181307_158,3216,16373419871487780,100
ea1p1,20211119181307_295,6550,16373419872770950,100
ea1p1,20211119181307_347,22584,16373419872960400,100
ea1p1,20211119181308_979,1124001,16373419873491048,100
ea1p1,20211119181309_135,56623,16373419889807550,100
ea1p1,20211119181309_631,27287,16373419895783290,100
ea1p1,20211119181309_647,6223,16373419896326320,100
ea1p1,20211119181309_693,37777,16373419896485072,100
ea1p1,20211119181309_708,12638,16373419896938620,100
ea1p1,20211119181309_743,14232,16373419897089780,100
ea1p1,20211119181309_896,7564,16373419898878460,100
ea1p1,20211119181310_107,29354,16373419900728620,100
ea1p1,20211119181310_115,2825,16373419901081728,100
ea1p1,20211119181310_399,128888,16373419902240240,100
ea1p1,20211119181310_53,44244,16373419904777710,100
ea1p1,20211119181310_543,9979,16373419905313808,100
ea1p1,20211119181310_787,171240,16373419905620130,100
ea1p1,20211119181311_589,293136,16373419907888060,100
ea1p1,20211119181311_632,34464,16373419915897960,100
ea1p1,20211119181311_736,40730,16373419916331862,100
ea1p1,20211119181311_952,165705,16373419917370470,100
ea1p1,20211119181311_975,2748,16373419919534560,100
ea1p1,20211119181311_982,3880,16373419919767000,100
ea1p1,20211119181312_156,51277,16373419919832500,100
ea1p1,20211119181312_319,50217,16373419921574870,100
ea1p1,20211119181312_936,51277,16373419927889420,100
ea1p1,20211119181313_057,3958,16373419930428280,100
ea1p1,20211119181313_751,183336,16373419930583770,100
ea1p1,20211119181314_828,333616,16373419937529430,100
ea1p1,20211119181315_804,351825,16373419948295610,100
ea1p1,20211119181315_884,30274,16373419958052190,100
ea1p1,20211119181316_431,288518,16373419960483192,100
ea1p1,20211119181316_454,8860,16373419964324250,100
ea1p1,20211119181316_832,32566,16373419967696960,100
ea1p1,20211119181317_872,799620,16373419968341780,100
ea1p1,20211119181317_912,14404,16373419978737832,100
ea1p1,20211119181318_072,13702,16373419980356300,100
ea1p1,20211119181318_081,3171,16373419980731010,100
ea1p1,20211119181319_605,498830,16373419983095232,100
ea1p1,20211119181319_683,50593,16373419996066720,100
ea1p1,20211119181320_11,2020,16373420001081470,100
ea1p1,20211119181320_224,80187,16373420001114212,100
ea1p1,20211119181320_236,8956,16373420002254118,100
ea1p1,20211119181320_336,87585,16373420002369220,100
ea1p1,20211119181320_364,5689,16373420003568758,100
ea1p1,20211119181320_498,23410,16373420004397330,100
ea1p1,20211119181320_634,8717,16373420006116828,100
ea1p1,20211119181320_909,73851,16373420007064300,100
ea1p1,20211119181320_934,20638,16373420009107930,100
ea1p1,20211119181321_174,5429,16373420011676660,100
ea1p1,20211119181321_685,377754,16373420011959900,100
ea1p1,20211119181321_742,50103,16373420016862120,100
ea1p1,20211119181321_824,55670,16373420017438058,100
ea1p1,20211119181322_623,296382,16373420018255590,100
ea1p1,20211119181322_677,45185,16373420026240890,100
ea1p1,20211119181322_705,11695,16373420026782830,100
ea1p1,20211119181322_856,55281,16373420027065340,100
ea1p1,20211119181328_336,4134325,16373420028569040,100
ea1p1,20211119181328_695,116221,16373420083371570,100
ea1p1,20211119181328_994,42921,16373420089196960,100
ea1p1,20211119181329_02,23092,16373420089949998,100
ea1p1,20211119181329_048,10968,16373420090217370,100
ea1p1,20211119181329_053,1344,16373420090493490,100
ea1p1,20211119181329_081,24488,16373420090536922,100
ea1p1,20211119181329_601,48438,16373420095408558,100
ea1p1,20211119181330_163,405553,16373420096023682,100
ea1p1,20211119181330_188,6609,16373420101642972,100
ea1p1,20211119181330_22,6982,16373420101893498,100
ea1p1,20211119181331_015,352050,16373420105478042,100
ea1p1,20211119181331_974,770354,16373420110165228,100
ea1p1,20211119181332_045,28265,16373420119752008,100
ea1p1,20211119181332_276,190444,16373420120458460,100
ea1p1,20211119181332_315,15923,16373420122775682,100
ea1p1,20211119181332_464,46360,16373420124058490,100
ea1p1,20211119181332_811,120894,16373420124656190,100
ea1p1,20211119181333_094,204843,16373420128118420,100
ea1p1,20211119181333_345,17631,16373420133017090,100
ea1p1,20211119181333_396,20809,16373420133462290,100
ea1p1,20211119181333_463,19816,16373420133967180,100
ea1p1,20211119181333_477,11111,16373420134639290,100
ea1p1,20211119181333_598,19313,16373420135514100,100
ea1p1,20211119181334_157,244424,16373420138621890,100
ea1p1,20211119181334_159,1214,16373420141579540,100
ea1p1,20211119181334_181,18042,16373420141602870,100
